community,size_x,de_count,de_expected,de_enrichment,pvalue_x,padj,is_perturbed,size_y,dominant_cog,dominant_cog_name,dominant_cog_count,dominant_cog_fraction,pvalue_y,cog_distribution,padj_cog
0,303,33,33.916512059369204,0.9729774082380614,0.6068190363693564,1.0,False,303,R,General function,36,0.1188118811881188,0.03807875887083522,"{""G"": 26, ""R"": 36, ""K"": 19, ""F"": 19, ""-"": 64, ""S"": 21, ""T"": 9, ""V"": 16, ""L"": 10, ""D"": 5, ""P"": 10, ""E"": 27, ""H"": 5, ""J"": 22, ""M"": 7, ""Q"": 1, ""C"": 4, ""U"": 1, ""W"": 1}",0.060926014193336354
1,10,0,1.119356833642548,0.0,1.0,1.0,False,10,J,Translation,4,0.4,0.020742429968146063,"{""J"": 4, ""R"": 2, ""-"": 1, ""T"": 2, ""P"": 1}",0.03555845137396468
2,58,4,6.492269635126778,0.6161173556867975,0.9055639387163281,1.0,False,58,R,General function,8,0.13793103448275862,0.14563469039559082,"{""-"": 10, ""H"": 7, ""K"": 5, ""F"": 3, ""M"": 3, ""T"": 3, ""P"": 4, ""R"": 8, ""S"": 4, ""L"": 2, ""V"": 2, ""E"": 4, ""I"": 1, ""G"": 1, ""J"": 1}",0.16809589749427842
3,36,3,4.029684601113172,0.744475138121547,0.7866076869571528,1.0,False,36,G,Carbohydrate metabolism,10,0.2777777777777778,0.0011274851456441366,"{""G"": 10, ""R"": 3, ""-"": 7, ""P"": 4, ""K"": 3, ""Q"": 1, ""S"": 2, ""U"": 1, ""F"": 1, ""L"": 2, ""M"": 2}",0.0045099405825765465
4,14,0,1.567099567099567,0.0,1.0,1.0,False,14,H,Coenzyme metabolism,4,0.2857142857142857,0.00019753770499165136,"{""H"": 4, ""P"": 3, ""S"": 1, ""M"": 1, ""K"": 2, ""-"": 3}",0.0009481809839599265
5,2,0,0.22387136672850957,0.0,1.0,1.0,False,2,J,Translation,1,0.5,0.2179817471543073,"{""J"": 1, ""D"": 1}",0.2377982696228807
6,108,20,12.089053803339517,1.6543891958256598,0.013261590829200665,0.19489022582198348,False,108,E,Amino acid metabolism,15,0.1388888888888889,0.0109723369363809,"{""-"": 17, ""F"": 13, ""E"": 15, ""K"": 6, ""T"": 3, ""R"": 6, ""J"": 11, ""M"": 7, ""G"": 7, ""V"": 5, ""I"": 5, ""L"": 2, ""P"": 5, ""D"": 1, ""H"": 2, ""S"": 3}",0.02614059355358263
7,89,5,9.962275819418677,0.5018933515426159,0.9790251447535947,1.0,False,89,G,Carbohydrate metabolism,13,0.14606741573033707,0.064372104829277,"{""J"": 6, ""R"": 8, ""S"": 4, ""I"": 3, ""M"": 11, ""-"": 17, ""V"": 6, ""L"": 4, ""G"": 13, ""E"": 6, ""H"": 2, ""P"": 4, ""K"": 3, ""F"": 1, ""T"": 1}",0.09655815724391549
8,45,3,5.037105751391466,0.5955801104972376,0.8961009843414439,1.0,False,45,E,Amino acid metabolism,9,0.2,0.0045600179494037964,"{""G"": 3, ""K"": 2, ""M"": 4, ""S"": 5, ""L"": 1, ""P"": 3, ""H"": 4, ""-"": 8, ""C"": 1, ""T"": 1, ""E"": 9, ""Q"": 1, ""J"": 1, ""R"": 2}",0.012716715516970544
9,44,5,4.925170068027211,1.0151933701657458,0.5582362078219966,1.0,False,44,P,Inorganic ion transport,11,0.25,9.204350001625949e-06,"{""-"": 4, ""T"": 2, ""E"": 9, ""P"": 11, ""U"": 1, ""J"": 1, ""R"": 3, ""H"": 1, ""V"": 2, ""K"": 6, ""G"": 1, ""F"": 1, ""S"": 2}",5.5226100009755695e-05
10,24,5,2.6864564007421152,1.8611878453038675,0.12156919011289496,0.6690757089976016,False,24,G,Carbohydrate metabolism,7,0.2916666666666667,0.004768768318863954,"{""P"": 4, ""K"": 3, ""C"": 2, ""G"": 7, ""J"": 1, ""E"": 1, ""R"": 3, ""S"": 1, ""-"": 2}",0.012716715516970544
11,175,17,19.58874458874459,0.8678453038674033,0.780582985258109,1.0,False,175,J,Translation,107,0.6114285714285714,2.92590987014883e-68,"{""K"": 9, ""G"": 7, ""I"": 10, ""J"": 107, ""U"": 6, ""C"": 9, ""R"": 7, ""F"": 8, ""E"": 2, ""L"": 1, ""M"": 4, ""Q"": 1, ""S"": 1, ""-"": 1, ""H"": 1, ""P"": 1}",7.022183688357193e-67
12,321,41,35.93135435992579,1.1410646976816232,0.1823581328783337,0.7294325315133348,False,321,R,General function,40,0.12461059190031153,0.013070296776791316,"{""R"": 40, ""L"": 12, ""-"": 59, ""C"": 11, ""E"": 25, ""S"": 35, ""J"": 21, ""V"": 12, ""F"": 9, ""G"": 28, ""T"": 6, ""K"": 24, ""H"": 4, ""M"": 13, ""P"": 13, ""Q"": 2, ""D"": 1, ""U"": 1, ""I"": 5}",0.02614059355358263
13,3,0,0.3358070500927644,0.0,1.0,1.0,False,3,E,Amino acid metabolism,2,0.6666666666666666,0.015595920494305068,"{""E"": 2, ""-"": 1}",0.028792468604870898
14,21,2,2.3506493506493507,0.850828729281768,0.700417302230354,1.0,False,21,G,Carbohydrate metabolism,4,0.19047619047619047,0.12525173943131737,"{""G"": 4, ""-"": 6, ""S"": 1, ""R"": 3, ""K"": 3, ""J"": 1, ""L"": 1, ""P"": 1, ""F"": 1}",0.15821272349219037
15,69,3,7.723562152133581,0.3884218111938506,0.9883090507864504,1.0,False,69,L,DNA replication/repair,28,0.4057971014492754,1.4271775540686554e-22,"{""H"": 3, ""M"": 12, ""L"": 28, ""S"": 1, ""U"": 1, ""D"": 7, ""R"": 6, ""N"": 2, ""G"": 4, ""K"": 2, ""-"": 1, ""T"": 1, ""P"": 1}",1.7126130648823867e-21
16,2,0,0.22387136672850957,0.0,1.0,1.0,False,2,P,Inorganic ion transport,1,0.5,0.10357234703062143,"{""P"": 1, ""S"": 1}",0.13809646270749523
17,32,6,3.581941867656153,1.6750690607734808,0.13939077270783368,0.6690757089976016,False,32,E,Amino acid metabolism,8,0.25,0.001685734004811161,"{""-"": 9, ""P"": 1, ""R"": 2, ""E"": 8, ""V"": 2, ""H"": 2, ""F"": 2, ""S"": 2, ""I"": 1, ""C"": 1, ""G"": 1, ""J"": 1}",0.005779659445066837
18,49,11,5.484848484848484,2.005524861878453,0.016240852151831957,0.19489022582198348,False,49,P,Inorganic ion transport,7,0.14285714285714285,0.013042695107494614,"{""V"": 6, ""F"": 2, ""-"": 12, ""M"": 1, ""S"": 5, ""G"": 6, ""E"": 1, ""K"": 4, ""P"": 7, ""J"": 2, ""T"": 1, ""I"": 1, ""L"": 1}",0.02614059355358263
19,101,9,11.305504019789733,0.7960724249220502,0.8183860397595901,1.0,False,101,G,Carbohydrate metabolism,14,0.13861386138613863,0.08040414555549047,"{""L"": 6, ""M"": 5, ""-"": 25, ""V"": 3, ""G"": 14, ""P"": 7, ""K"": 8, ""R"": 3, ""E"": 11, ""S"": 10, ""Q"": 3, ""J"": 3, ""F"": 2, ""H"": 1}",0.11351173490186889
20,23,3,2.5745207173778604,1.1652654335815518,0.4846374324825119,1.0,False,23,R,General function,4,0.17391304347826086,0.14708391030749363,"{""T"": 2, ""-"": 5, ""G"": 1, ""V"": 3, ""R"": 4, ""K"": 3, ""S"": 1, ""P"": 3, ""M"": 1}",0.16809589749427842
21,12,4,1.3432282003710576,2.977900552486188,0.03653301913155264,0.2922641530524211,False,12,R,General function,2,0.16666666666666666,0.2961399196187363,"{""-"": 9, ""V"": 1, ""R"": 2}",0.2961399196187363
22,26,3,2.9103277674706245,1.0308117297067574,0.5705143318854982,1.0,False,26,G,Carbohydrate metabolism,12,0.46153846153846156,8.796640529462314e-07,"{""V"": 1, ""M"": 1, ""G"": 12, ""-"": 4, ""K"": 3, ""R"": 2, ""S"": 2, ""Q"": 1}",7.037312423569851e-06
23,47,4,5.260977118119976,0.7603150346773245,0.7905540942891203,1.0,False,47,G,Carbohydrate metabolism,6,0.1276595744680851,0.2710715844172924,"{""-"": 13, ""L"": 1, ""G"": 6, ""M"": 4, ""R"": 5, ""T"": 1, ""J"": 4, ""S"": 5, ""V"": 1, ""I"": 1, ""D"": 1, ""H"": 1, ""C"": 1, ""P"": 2, ""U"": 1}",0.2828573054789138
