locusId1,locusId2,gene1,gene2,layer,source,subtype,score,interaction_class,validation,zscore,read_ratio,query_gene,polarity,gene_direction
SPD_0001,SPD_0709,dnaA,gyrB,ppi,STRING,PPI,0.718,PPI,Computational,,,,,
SPD_0001,SPD_1739,dnaA,recA,ppi,STRING,PPI,0.738,PPI,Computational,,,,,
SPD_0001,SPD_1759,dnaA,rpoB,ppi,STRING,PPI,0.764,PPI,Computational,,,,,
SPD_0001,SPD_1479,dnaA,ftsZ,ppi,STRING,PPI,0.813,PPI,Computational,,,,,
SPD_0001,SPD_1521,dnaA,dnaI,ppi,STRING,PPI,0.816,PPI,Computational,,,,,
SPD_0001,SPD_2054,dnaA,recF,ppi,STRING,PPI,0.87,PPI,Computational,,,,,
SPD_0001,SPD_0002,dnaA,dnaN,ppi,STRING,PPI,0.999,PPI,Computational,,,,,
SPD_0002,SPD_1042,dnaN,nrdE,ppi,STRING,PPI,0.704,PPI,Computational,,,,,
SPD_0002,SPD_0027,dnaN,dut,ppi,STRING,PPI,0.711,PPI,Computational,,,,,
SPD_0002,SPD_1120,dnaN,topA,ppi,STRING,PPI,0.714,PPI,Computational,,,,,
SPD_0002,SPD_0581,dnaN,thyA,ppi,STRING,PPI,0.717,PPI,Computational,,,,,
SPD_0002,SPD_1521,dnaN,dnaI,ppi,STRING,PPI,0.735,PPI,Computational,,,,,
SPD_0002,SPD_1208,dnaN,aroC,ppi,STRING,PPI,0.812,PPI,Computational,,,,,
SPD_0002,SPD_0709,dnaN,gyrB,ppi,STRING,PPI,0.869,PPI,Computational,,,,,
SPD_0002,SPD_1739,dnaN,recA,ppi,STRING,PPI,0.899,PPI,Computational,,,,,
SPD_0002,SPD_2054,dnaN,recF,ppi,STRING,PPI,0.914,PPI,Computational,,,,,
SPD_0002,SPD_0973,dnaN,pcrA,ppi,STRING,PPI,0.942,PPI,Computational,,,,,
SPD_0002,SPD_0165,dnaN,hexB,ppi,STRING,PPI,0.975,PPI,Computational,,,,,
SPD_0002,SPD_0419,dnaN,dinP,ppi,STRING,PPI,0.988,PPI,Computational,,,,,
SPD_0002,SPD_0254,dnaN,polC,ppi,STRING,PPI,0.989,PPI,Computational,,,,,
SPD_0002,SPD_0788,dnaN,dnaE,ppi,STRING,PPI,0.992,PPI,Computational,,,,,
SPD_0002,SPD_0666,dnaN,holA,ppi,STRING,PPI,0.995,PPI,Computational,,,,,
SPD_0002,SPD_0760,dnaN,dnaX,ppi,STRING,PPI,0.997,PPI,Computational,,,,,
SPD_0002,SPD_0826,dnaN,holB,ppi,STRING,PPI,0.999,PPI,Computational,,,,,
SPD_0004,SPD_0053,SPD_0004,purF,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,4.303182219,1.833929747,,,
SPD_0004,SPD_0063,SPD_0004,strH,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,4.005474291,1.294235651,,,
SPD_0004,SPD_0067,SPD_0004,SPD_0067,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,4.315954995,1.414537193,,,
SPD_0004,SPD_0089,SPD_0004,SPD_0089,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,4.283556326,1.800201677,,,
SPD_0004,SPD_0231,SPD_0004,SPD_0231,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,4.001531663,1.439667342,,,
SPD_0004,SPD_0236,SPD_0004,talC,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,4.601750781,1.503941365,,,
SPD_0004,SPD_0558,SPD_0004,prtA,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-5.372101469,0.503146054,,,
SPD_0004,SPD_0577,SPD_0004,zmpB,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-5.204796702,0.402371119,,,
SPD_0004,SPD_0604,SPD_0004,SPD_0604,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-5.038402553,0.493028497,,,
SPD_0004,SPD_0784,SPD_0004,SPD_0784,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-4.51749919,0.341723149,,,
SPD_0004,SPD_0890,SPD_0004,phtE,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-4.090097432,0.347427141,,,
SPD_0004,SPD_0932,SPD_0004,SPD_0932,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-4.539322207,0.415678416,,,
SPD_0004,SPD_0941,SPD_0004,SPD_0941,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-4.322949229,0.240206007,,,
SPD_0004,SPD_0942,SPD_0004,SPD_0942,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-4.222299771,0.16727113,,,
SPD_0004,SPD_0943,SPD_0004,SPD_0943,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-5.081004482,0.51374175,,,
SPD_0004,SPD_0945,SPD_0004,SPD_0945,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-4.638820295,0.223456968,,,
SPD_0004,SPD_1007,SPD_0004,glgD,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-4.604075099,0.141366454,,,
SPD_0004,SPD_1018,SPD_0004,iga,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-6.358440277,0.223993503,,,
SPD_0004,SPD_1071,SPD_0004,SPD_1071,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-5.736635643,0.44676749,,,
SPD_0004,SPD_1179,SPD_0004,SPD_1179,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-5.883736737,0.373048625,,,
SPD_0004,SPD_1376,SPD_0004,SPD_1376,genetic_interaction,Dual Tn-seq (strict),strict,,negative,Untested,-5.067418548,0.440642524,,,
SPD_0004,SPD_1749,SPD_0004,SPD_1749,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,5.738071751,1.331038292,,,
SPD_0004,SPD_1752,SPD_0004,SPD_1752,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,6.451721027,1.325470251,,,
SPD_0004,SPD_1753,SPD_0004,SPD_1753,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,4.033566822,1.27558104,,,
SPD_0004,SPD_1789,SPD_0004,SPD_1789,genetic_interaction,Dual Tn-seq (strict),strict,,positive,Untested,4.260207044,3.16138002,,,
