locus_tag,gene_name,degree,degree_raw,betweenness,closeness,eigenvector,clustering,is_essential,is_de,logFC,FDR,cog_category,product
SPD_2058,SPD_2058,0.32424054556726595,523,0.17322322949436694,0.5403515735256288,0.04817861218646109,0.039024783338095136,False,False,-0.356658459,0.014185878,S,ABC transporter%2C permease protein%2C putative
SPD_0006,mfd,0.3031618102913825,489,0.15729624516789675,0.5307151848299935,0.0503842533003584,0.03655838278185658,False,False,0.727947124,8.92e-22,K,transcription-repair coupling factor
SPD_2007,SPD_2007,0.28394296342219466,458,0.11236243733979218,0.5183888966662,0.045366005739299727,0.04645829550992327,False,False,0.331404457,0.132620758,P,transporter%2C major facilitator family protein
SPD_2004,dltB,0.2318660880347179,374,0.06368230817610368,0.4934005464124102,0.04106258129732316,0.05609955412825623,False,True,-1.244297593,9.4e-40,M,protein DltB
SPD_2009,SPD_2009,0.23310601363918163,376,0.059278734366233155,0.4869713877773394,0.04007096025235505,0.05245390070921986,False,False,-0.000106561,1.0,-,hypothetical protein
SPD_2002,dltD,0.19032858028518287,307,0.03640777733918761,0.47671479669689115,0.03692970876779858,0.07229992974388452,False,True,-1.388500354,1.36e-61,M,undecaprenol-phosphate-poly(glycerophosphate subunit) D-alanine transfer protein
SPD_2005,dltA,0.16367017978921264,264,0.030312434789871633,0.46892488464114973,0.0341429993046992,0.08376541076160848,False,True,-1.320622511,9.64e-46,Q,D-alanine--poly(phosphoribitol) ligase subunit 1
SPD_0244,cdsA,0.04711717296962182,76,0.027246269132547827,0.3944539959904811,0.006977718941431767,0.049473684210526316,True,False,-0.457297283,5.74e-10,I,phosphatidate cytidylyltransferase
SPD_0235,pfl,0.06199628022318661,100,0.024932393132965948,0.43644909822520916,0.016120255429431442,0.1606060606060606,False,False,0.404497405,0.000619503,C,pyruvate formate-lyase
SPD_2014,SPD_2014,0.16491010539367637,266,0.02206912100406011,0.4598013103477025,0.03345555560274706,0.09170095048943112,False,False,-0.02696368,0.848451027,K,hypothetical protein
SPD_1018,iga,0.09051456912585244,146,0.021908801131003432,0.44404685815562867,0.020634875727699658,0.13094000944733114,False,False,0.233143708,0.007445037,S,immunoglobulin A1 protease precursor
SPD_1060,lepA,0.04091754494730316,66,0.02115884215972658,0.4088032509959858,0.08896750815613622,0.6130536130536131,False,False,0.489969929,1.75e-09,M,GTP-binding protein LepA
SPD_0932,SPD_0932,0.08741475511469311,141,0.017309833536874496,0.44221397349070446,0.021276564456728923,0.16636271529888552,False,False,0.573763389,0.061098837,-,hypothetical protein
SPD_2064,comD,0.12337259764414135,199,0.01706927922368008,0.4460187564988121,0.024762372738690152,0.08735597177808233,False,False,0.30445534,0.187498737,T,putative sensor histidine kinase ComD
SPD_2003,dltC,0.05021698698078115,81,0.016302418080289104,0.4178381642395268,0.033300391438650184,0.1558641975308642,False,False,-0.97011367,1.53e-07,I,D-alanine--poly(phosphoribitol) ligase subunit 2
SPD_0423,SPD_0423,0.053936763794172345,87,0.014556247234106074,0.3910940812035094,0.011184311461934075,0.10104250200481155,False,False,-0.592975077,3.76e-07,K,ROK family protein
SPD_1274,guaA,0.04215747055176689,68,0.014552788623119735,0.3617752318021657,0.038924153661468626,0.1527655838454785,False,False,0.302885601,0.00032221,F,GMP synthase%2C C-terminal domain
SPD_1752,SPD_1752,0.06447613143211407,104,0.014067603399384692,0.4357390400393764,0.01395399459112184,0.13573562359970126,False,False,-0.41656276,0.162655658,V,toxin secretion ABC transporter%2C ATP-binding/permease protein
SPD_1759,rpoB,0.04897706137631742,79,0.014031974356473591,0.38380835435042276,0.0989968592860967,0.5738396624472574,False,False,0.013637072,0.956685977,K,DNA-directed RNA polymerase%2C beta subunit
SPD_2068,SPD_2068,0.12647241165530068,204,0.013669088380769216,0.44639043879589446,0.026608526664289027,0.10368975176277408,False,True,-2.486105715,1.35e-139,J,serine protease
